 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
6.96 
1565629877.05
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  23	  35	
 102.4	  44	  69	  42	  68	  43	  71	  46	  70	
 204.8	  87	 138	  82	 135	  85	 142	  92	 140	
 409.6	 173	 275	 165	 269	 170	 284	 184	 279	
 819.2	 346	 550	 328	 538	 339	 567	 367	 558	
1638.4	 689	1097	 655	1073	 676	1132	 731	1112	
3276.8	1377	2192	1308	2143	1351	2261	1460	2221	
