 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.26 
1562345068.4
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  20	  34	  22	  34	
 102.4	  41	  66	  38	  64	  40	  68	  43	  67	
 204.8	  81	 132	  76	 128	  80	 136	  86	 133	
 409.6	 161	 264	 152	 256	 159	 271	 172	 265	
 819.2	 322	 528	 303	 512	 318	 541	 344	 530	
1638.4	 645	1058	 607	1026	 638	1085	 690	1063	
3276.8	1286	2112	1212	2049	1272	2165	1377	2123	
