 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.65 
1561976051.41
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  20	  34	  22	  34	
 102.4	  41	  67	  39	  65	  40	  68	  44	  67	
 204.8	  82	 133	  77	 129	  81	 137	  87	 134	
 409.6	 162	 265	 153	 257	 160	 271	 173	 266	
 819.2	 323	 528	 305	 512	 319	 542	 345	 530	
1638.4	 645	1055	 608	1024	 638	1082	 688	1060	
3276.8	1289	2109	1215	2045	1274	2162	1374	2117	
