 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
33.39 
1556881532.69
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  33	  20	  34	  22	  34	
 102.4	  42	  66	  40	  65	  40	  67	  44	  67	
 204.8	  83	 131	  79	 129	  79	 134	  87	 133	
 409.6	 166	 262	 158	 257	 158	 267	 173	 265	
 819.2	 330	 523	 315	 513	 315	 533	 345	 529	
1638.4	 661	1045	 630	1025	 629	1066	 690	1058	
3276.8	1318	2086	1256	2046	1255	2127	1375	2110	
