 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
18.95 
1562732703.52
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  20	  34	  22	  34	
 102.4	  41	  67	  38	  65	  40	  68	  44	  67	
 204.8	  81	 132	  76	 128	  80	 136	  86	 133	
 409.6	 161	 264	 152	 256	 159	 271	 172	 265	
 819.2	 321	 527	 302	 511	 318	 540	 343	 529	
1638.4	 639	1051	 602	1019	 633	1077	 684	1055	
3276.8	1278	2102	1204	2038	1266	2155	1367	2109	
