 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
32.02 
1558356487.1
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  20	  34	  22	  33	
 102.4	  41	  67	  39	  64	  39	  67	  43	  66	
 204.8	  82	 131	  78	 128	  79	 133	  86	 132	
 409.6	 164	 261	 156	 256	 157	 266	 171	 264	
 819.2	 327	 521	 311	 511	 312	 531	 342	 527	
1638.4	 653	1040	 620	1019	 623	1061	 682	1051	
3276.8	1303	2078	1239	2036	1245	2119	1363	2101	
