 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.47 
1556945292.74
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  16	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  84	 133	  79	 129	  82	 136	  88	 133	
 409.6	 166	 264	 158	 257	 162	 270	 175	 265	
 819.2	 333	 528	 315	 514	 324	 541	 349	 530	
1638.4	 661	1050	 627	1022	 644	1074	 694	1053	
3276.8	1321	2099	1252	2041	1288	2146	1385	2105	
