 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.65 
1561008603.49
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  83	 134	  78	 130	  82	 138	  88	 135	
 409.6	 164	 267	 155	 259	 162	 274	 175	 269	
 819.2	 328	 534	 310	 518	 324	 548	 350	 537	
1638.4	 655	1066	 618	1035	 647	1095	 698	1072	
3276.8	1306	2127	1233	2064	1290	2183	1391	2138	
