 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.99 
1562182084.62
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  17	  10	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  41	  67	  39	  65	  41	  69	  44	  67	
 204.8	  81	 133	  77	 129	  80	 136	  87	 134	
 409.6	 162	 265	 152	 257	 160	 272	 173	 266	
 819.2	 322	 528	 303	 512	 319	 541	 344	 530	
1638.4	 646	1059	 609	1028	 640	1087	 692	1065	
3276.8	1286	2109	1212	2046	1274	2164	1375	2119	
