 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.81 
1560361466.51
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  40	  65	  41	  69	  44	  68	
 204.8	  83	 134	  78	 130	  82	 137	  88	 135	
 409.6	 165	 267	 156	 259	 163	 274	 175	 269	
 819.2	 328	 532	 310	 516	 323	 545	 348	 534	
1638.4	 657	1066	 622	1035	 648	1094	 699	1072	
3276.8	1315	2132	1243	2068	1295	2187	1397	2143	
