 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
31.78 
1556728426.96
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  32	  20	  34	  22	  33	
 102.4	  42	  66	  40	  64	  40	  67	  44	  66	
 204.8	  83	 131	  79	 129	  79	 134	  87	 133	
 409.6	 166	 262	 158	 257	 158	 267	 173	 265	
 819.2	 331	 522	 315	 512	 315	 533	 345	 528	
1638.4	 659	1042	 628	1021	 627	1062	 687	1053	
3276.8	1317	2081	1254	2041	1252	2122	1372	2103	
