 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
12.68 
1559891494.38
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   4	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  33	  20	  34	  22	  33	
 102.4	  42	  66	  40	  65	  40	  67	  43	  66	
 204.8	  82	 131	  79	 129	  80	 134	  86	 131	
 409.6	 165	 261	 157	 257	 160	 267	 172	 262	
 819.2	 328	 521	 314	 513	 320	 533	 343	 523	
1638.4	 656	1041	 627	1026	 639	1065	 685	1046	
3276.8	1309	2078	1251	2047	1276	2125	1366	2086	
