 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
15.71 
1561383635.52
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  22	  34	  21	  33	  21	  35	  22	  34	
 102.4	  43	  67	  40	  66	  42	  69	  44	  68	
 204.8	  85	 134	  81	 131	  83	 138	  88	 135	
 409.6	 169	 267	 161	 262	 167	 275	 176	 269	
 819.2	 337	 532	 320	 523	 332	 548	 351	 536	
1638.4	 674	1064	 639	1044	 662	1096	 701	1072	
3276.8	1346	2126	1276	2087	1323	2189	1399	2141	
