 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
20.65 
1562474043.15
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  34	  19	  33	  20	  34	  22	  34	
 102.4	  41	  66	  38	  65	  40	  68	  43	  67	
 204.8	  81	 132	  76	 128	  80	 136	  86	 133	
 409.6	 161	 264	 152	 256	 159	 271	 172	 265	
 819.2	 322	 528	 303	 512	 318	 540	 344	 530	
1638.4	 641	1052	 604	1021	 634	1078	 686	1057	
3276.8	1281	2103	1206	2040	1267	2154	1369	2111	
