 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
19.43 
1560504607.98
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  39	  65	  41	  69	  44	  67	
 204.8	  83	 134	  78	 130	  81	 137	  88	 134	
 409.6	 164	 267	 155	 259	 162	 273	 175	 268	
 819.2	 328	 532	 310	 516	 323	 546	 348	 534	
1638.4	 656	1065	 620	1033	 646	1093	 697	1070	
3276.8	1309	2126	1237	2062	1291	2181	1391	2135	
