 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.77 
1562346454.55
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  12	  18	  11	  17	  11	  18	  12	  18	
  51.2	  23	  35	  22	  35	  22	  36	  24	  36	
 102.4	  45	  70	  43	  69	  44	  72	  47	  71	
 204.8	  89	 139	  85	 137	  87	 144	  94	 142	
 409.6	 177	 278	 169	 273	 173	 287	 187	 283	
 819.2	 354	 556	 337	 544	 345	 573	 374	 564	
1638.4	 706	1108	 672	1086	 689	1144	 745	1125	
3276.8	1412	2217	1345	2172	1378	2289	1491	2251	
