 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.97 
1565894306.28
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  23	  35	
 102.4	  44	  69	  42	  68	  43	  72	  46	  70	
 204.8	  87	 138	  83	 135	  85	 143	  92	 140	
 409.6	 173	 276	 165	 269	 170	 284	 184	 280	
 819.2	 346	 551	 329	 538	 340	 569	 367	 559	
1638.4	 691	1101	 656	1075	 678	1136	 734	1116	
3276.8	1379	2197	1310	2147	1354	2268	1464	2228	
