 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
29.73 
1554865174.46
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  17	  11	  17	
  51.2	  21	  34	  20	  33	  21	  34	  22	  34	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  84	 133	  80	 129	  82	 135	  88	 133	
 409.6	 168	 264	 160	 258	 163	 270	 176	 265	
 819.2	 335	 529	 319	 516	 325	 541	 352	 532	
1638.4	 668	1055	 636	1029	 648	1078	 702	1059	
3276.8	1338	2113	1274	2061	1298	2159	1406	2121	
