 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
29.95 
1554572668.53
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   4	   3	   5	   3	   4	
  12.8	   6	   9	   5	   8	   5	   9	   6	   9	
  25.6	  11	  17	  10	  16	  10	  17	  11	  17	
  51.2	  21	  33	  20	  33	  21	  34	  22	  33	
 102.4	  42	  66	  40	  65	  41	  68	  44	  67	
 204.8	  84	 132	  80	 129	  81	 135	  88	 132	
 409.6	 167	 263	 159	 257	 161	 268	 175	 264	
 819.2	 332	 525	 317	 513	 322	 535	 349	 527	
1638.4	 664	1050	 633	1025	 643	1071	 698	1053	
3276.8	1325	2095	1264	2046	1284	2137	1393	2102	
