 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
5.69 
1564777740.86
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   6	   9	   6	   9	   6	   9	
  25.6	  11	  18	  11	  17	  11	  18	  12	  18	
  51.2	  22	  35	  21	  34	  22	  36	  24	  36	
 102.4	  44	  70	  42	  68	  43	  72	  47	  71	
 204.8	  88	 139	  83	 136	  86	 143	  93	 141	
 409.6	 175	 277	 166	 271	 171	 286	 185	 281	
 819.2	 348	 552	 331	 540	 341	 570	 369	 560	
1638.4	 695	1103	 661	1078	 682	1139	 737	1119	
3276.8	1387	2200	1317	2151	1359	2272	1468	2231	
