 T_NTC(C) 	GlobalTime(s)  DoseRange(Mrad)
15.47 
1566204954.55
GlobDur	R0	R1	R2	R3	R4	R5	R6	R7 
   6.4	   3	   5	   3	   5	   3	   5	   3	   5	
  12.8	   6	   9	   5	   9	   6	   9	   6	   9	
  25.6	  11	  17	  10	  17	  11	  18	  11	  17	
  51.2	  21	  34	  20	  33	  21	  35	  22	  34	
 102.4	  42	  67	  39	  65	  41	  69	  44	  67	
 204.8	  83	 133	  78	 131	  82	 137	  87	 134	
 409.6	 165	 266	 155	 261	 164	 274	 173	 268	
 819.2	 328	 531	 310	 520	 326	 547	 346	 535	
1638.4	 657	1061	 619	1040	 653	1095	 691	1070	
3276.8	1309	2117	1235	2075	1302	2184	1378	2133	
